,0
0,49331.18531931459
1,52443.37043965729
2,58801.991803181016
3,60974.419063655536
4,75339.289207355
5,73276.70377465729
6,68346.02617223198
7,59729.54501551845
8,69127.12361420036
9,71287.34622714412
10,67625.95196791741
11,65587.77583028121
12,71116.48116171356
13,68419.25405741655
14,61511.423555008805
15,61377.17243217049
16,69407.83050740775
17,65331.47823213535
18,68577.91447531636
19,70542.86272776804
20,87397.48096774168
21,89081.72232698595
22,89972.66159673114
23,87763.62039366436
24,102482.42531575577
25,104300.91779783837
26,113063.85472492097
27,111599.29702123028
28,116578.79321377861
29,114504.00313355014
